Problem size,time (basic),space (basic),time (efficient),space (efficient)
16,6.610829100012779,50.7424,12.938979100435972,105.06559999999999
64,5.9265833012759686,50.7424,12.054499998688698,104.85279999999997
128,6.469679202884436,50.7424,12.626779198646545,155.2016
256,7.1362625025212765,50.7424,12.923166703432798,155.19680000000002
384,8.524083402007818,50.742399999999975,14.522079203277826,155.2392
512,10.148237500339746,50.742399999999975,16.092120800167322,209.7248
768,11.293733298778534,104.9616,17.856525000184774,260.12159999999994
1024,11.207116600126028,155.60239999999996,17.79318330064416,364.8944
1280,11.449620801955462,210.01919999999998,18.622545797377825,524.2872
1536,13.08512919768691,260.76239999999996,21.201616697013378,679.6648
2048,14.086125001311302,470.79120000000006,23.054654199630022,1048.5912
2560,13.508833300322294,734.8224,23.987637501209974,1572.8632
3072,14.687399998307228,995.692,26.385512497276068,2202.032
3584,15.060104202479124,1364.38,30.3210166990757,715.5648
3968,15.853879198431969,1625.3704,30.85050419718027,1137.3176
